sentence	label
"Hollywood has officially gone too far now, and I really hope that this travesty of a motion picture despite a good box office result actually leads to a backlash against its crap machines. If you are an industry person that reads our comments and looking for guidance on how to proceed Brooch, STOP. Stop turning our TV shows into these disgusting, stupid, money-wasting time films that fall by the wayside. And this action proves one thing: Hollywood is running out of ideas and watching the films it plays only continues the cycle of abomination. more What's next -- you guys who are going to ruin Bionic Man?? The film is plainly wrong and it manages to completely wrong the silliest, simplest fact about the show by forgetting (or ignoring) that Tom Wopat & John Schneider's Bo & Luke Duke * * were moonshiners. They were beaten, learned lessons, went straight to the front and were there to help and great neighbours who by chance shoot dynamite darts from hunting arrows and mortar rounds like Steve McQueen. Denver resident Uncle Jessie Pyle was also the moral focal point of the family, always insisting that the boys do good things, even at their own expense or embarrassment, while making sandwiches and coffee when the house was doing its best. They were always doing the right thing, and they had a kind of serious naivety, which was very appealing. We wanted to be more like them than us, sorta. s favourite trick was that they always seated themselves tight before they flew off, which was obviously too morally bleak for this film. By turning the Duchess family into an aviation group, Far-sightedness, Criminal, Redheads Misogynistic loser, the movie has no moral stand Where this series was entirely about how honest or incorruptible the Dukes were - should the Duke boys? I wanted to punch them in the nose. It seems as though producer types have a lot of free time to work on the farm, and they end up with less than noble goals, if not a pair of 14-year-old boys that didn't grow up. No marijuana use, no gaffes, no baby bump & boobs, no sneakiness from da Hood's Brothers. It all looks like the job of a marketing consultant doing a survey on what 14-year-old boys would like to see in a film. The trouble is that 14-year-old boys can't possibly remember the programme. IMHO shouldn't be watching this movie. And parents who may feel nostalgic for the show will be disgusted by what the writers are offering. Directors & producers only did it to separate us from our money. That's how I feel. What were they thinking??? And boy, have they got Daisy wrong! Jessica Simpson is as sweet as a slut at Pamela Anderson's shopping mall - the only reason to be saddened by her shame - but you can imagine her needs by downloading promotional photos, printing them out and pinning them to the walls in the restroom. It is virtually unseen in the film (the movie's sole saving grace), and the ten minutes or so spent watching it by Swift was already overwhelming. Catherine Bach's Daisy may have had the same type of shorts and long legs that people treat with amusement if you just look at her, but the Daisy she played was * PERSON *. The adulation she brought about by simply being who she was had a near-natural ring to it. She's still one of pop culture's most outrageous icons but there was someone here. And above all, she was a likable, caring person who could not prevent the guys pouncing on her. Jessica Simpson, on the other hand, appears fake, gimmick, make-up, costume, pose aloof, bored, out of place and in that outfit I think she doesn't look good at all. She does not look like a human, but a plot that formed in a deal with someone representing her agent. Mrs Simpson would be well advised to fire that person immediately and pretend the whole thing never happened. Whatever the joke, she never plays along and is shamefully exploited by T & A. If this is all she wants from her career, the sequel is produced by the management, if only to give herself enough screen time, because that effort was just pitiful. The bottom line is SKIP IT. For two tickets and a slurpee to go, you can take one of Warner Bros. ""s excellent box sets from the original shows to DVD and the whole family can watch them together. That's why it worked. The only real purpose that I can see in the film will be the future to use as an interrogation tool at Guantanamo Bay. Twenty minutes of it they sing in the chorus. 1 / 10 And I mean them. AND LOCATION Hell FROM THE BIONVIAN MAN, you snooks"	1
"The story of a woman (Ann) on her deathbed, her two daughters (Nina and Constance) and her thoughts on her past. The flashbacks deal with a weekend where young Ann finds herself attending the wedding of her friend Lila. At the wedding she met Harris who will influence her for the rest of her life. Through all the ups and downs in her professional and family life, she remembers him as her great love. Her daughter Constance is older, ""more responsible,"" a mother of two and has a lot in common. Nina jumps from boyfriend to boyfriend and job to job, unsure as to how her life will proceed. First, the good. The historical detail in the film is great. Clothes, hair, cars, houses, etc. You really are transported to another time and place. We are dealing with a very high quality performer today. Vanessa Redgrave is very good at depicting the main character and her unstabile state of mind in the final moments of her life. Claire Danes is beautiful and she did her job as the main character when she was young (and she is an outstanding singer). Hugh Dancy breathed life into the character of Lila's brother Buddy. Now on to evil, and that is all. Things keep confusing history as it unfolds for us. The chemistry between young Ann and Buddy is right. They're having fun and dancing. You'd think that she doesn't produziert see him as a more important person than a boyfriend and that his Buy-In jingles that annoy her. And I thought the whole ""he might be gay"" thing came out of the blue and was of no use. Then we have Harris. The character looks wooden and creepy. If it had been a different genre, we would have known immediately that Harris was a serial killer. s an unbelievable amount of time to think all these girls would have loved him so much (but of course they still portray the other boys as pretty lame if not to help him). And the biggest problem of all. Why don't Ann and Harris get together? They fall in love with each other. In a dirty garden hut they experience the night of sex, come home, find out of Buddy's tragic end and finally come... Nothing. A few years later, they see each other again and get misted, and all I have left is to wonder. Why? The film never tells you why they were forced to marry other people, and therefore it was difficult for me to feel their pity. The part that takes place in present day reality is rather boring. The clichéd good daughter and the clichéd bad daughter. Nina changes like this as the film progresses, but I don't know why. I'm not sure that's what makes them change their lives. There is a touching scene, where her daughters meet old Ann, who dreams of following a butterfly. It's really lame and embarrassing. ""There're no mistakes,"" Ann advises us. The statement does not echo the story. And it doesn't sound true after you've watched the film and the talent of such good actors has been wasted."	1
"THE CRIMSON RIVERS is one of the most unwieldy, unpredictable and unsettled chaos ever created in France. There's nothing worse than that a French production trying to squeeze out films made in Hollywood Venedig and China is a perfect example of such wannabe horror, action / buddy fiction. I almost stopped it halfway through because I knew it would only come down to French guys that want to show off. The film begins promisingly, like a kind of wide-ranging horror film, but they change genres - from horror to action to X-ray movie-type - to be everything, but none at the end. It's so full of clichés that at one point I thought it was a comedy. The painful dialogue and the silent pauses, in which fading out only occurs in the right exposition moments, have made me groan. I thought this hackneyed technique was only in use in Hollywood films. The chase scene in which Vincent Cassel pursues the killer is so frenzied and exaggerated that it is almost a matter of beauty. The high point on the Diplomat Hill, with handelt revelation about AC-12 killers Cassel and Reno as ""buddies"" like Nolte and Murphy in 48 HRS, made the previous talk-show success completely implausible. It is difficult to believe that the director of THE CRIMSON RIVERS also directed GOTHIKA, though he had some problems - and it's not nearly as awful as this crazy messy film."	1
"I was introduced to Bourne Identity five years ago and have to admit that I don't think much of it. I was eleven years old at the time and perhaps too young to really get involved in the story as well as fully understand the whole scenario. When Bourne Supremacy arrived two years ago, I thought it was a better film than Identity, but I still didn't think it was quite as good as I expected from the trailers. In the past two years, they've often told me the Bourne films were great; often forcing me to bite my tongue and not say what I really thought about the movies. I can't say anything about the Bourne ultimatum until two months ago. I was literally not meant to see it. But then I decided to go back and look at the first two before making any abrupt decisions. So I went and bought the two original films. And what a surprise that was when I got the same impression. I found the superiors of the pair, but Supremacy is not far away. They are both smooth, action-packed and thrilling films that I have seen several times since I bought them. For that reason, I was the first in the line to observe the Bourne Ultimatum today. And boy didn't Bourne's ultimatum disappoint! Matt Damon had never been one of my favourite actors until he appeared in The Bourne Movie, I'd seen him in the hugely talented Mr Ripley, but I never thought much of him in general. It seems, however, that he was born for the role of ""Bourne"" (forgive the pun). ""Throughout this series, we've seen character change before our eyes, in this film, we see Matt Damon at his very best and even better than he was when he left the theater. I thought he was one of the best things in leaving the movie theater. You will focus your concern on the character and hope he finds out all. Matt Damon plays the role with a quiet intensity, and you always find his character highly believable. Also outstanding was the supporting cast of the film. Joan Allen was one of my favourite characters in Bourne Supremacy and she's stood out. Her character is also very believable, and she has some splendidly played moments towards the end of the film. Julia Stiles reappears as Nicky and we finally get a glimpse of her character. Julia Stiles is a hugely underrated actress and I thought she earned a lot more roles, good-looking parts, than she would get. David Strathairn is a new actor in the show as Noah Vosen, he's definitely the villain in the movie and he's really emanating something. He's definitely the worst character we've met and some of his decisions are really nasty. Strathairn is enjoying the part and he also has some fantastic scenes in the film. The film's Albert Finney deserves a special mention, who makes the most of his too short screen time, I don't want to say anything about the character, which remains surprising, but trust me, his scenes are some of format's highlights. The Bourne films have always had a strong focus on storytelling, not action sequences, which doesn't mean there's a lack of action sequences, but my goodness no, there are many of them spread over all films. But it's a well-written and well-acted story throughout the film. This storyline ends in the best possible manner. Watching Supremacy the night before the ultimatum, it was nice because I could see the small things beginning to fade. That very last scene in Supremacy, in New York, far more important than I could ever imagine. It will not spoil for people, but I recommend to look before ultimatum suprematus. But this ultimatum is sure to be resisted by many people simply because of its action sequences. I should condemn them and say that they should see it for the plot, but I'd??? re lying if I didn??? t say that my favourite tunes from the Bourne series are all car chases. The miniature car chase in Identity is one of my favorite car chases of all time. Well, the plot of Ultimatum must be the best from the Bourne series. In fact, the film begins with an action sequence in Moscow. So during the film we get many beatings, all of them very violent and shockingly brutal. A motorcycle chase that is fantastic, many great car chases, an exciting and unforgettable chase, and oh, and much more. For me however, the highlight is the scene at Waterloo station which makes me feel that it was not ruined but seizure for some reason. So any weaknesses for the movie? In my opinion no, but if you're not a fan of the Bourne series and have not seen the last two, I wouldn't recommend ultimatum for you. The film is not trying to garner new fans because it sticks to what the franchise does best by just adding a bit of extra plot and action sequences. The Bourne Ultimatum is undoubtedly the best of the series and the best blockbuster of 2007. As a James Bond fanatic, it is a great honour to say that Ultimatum is far better than the vast majority of Bond films and trust me I must say a great deal. Although Bourne might not be a better franchise overall than the Bond series, it is."	0
"I'm sorry, but whenever I see a movie where a woman limp beats a man and the man just crouches, it loses visions of credibility. So the new (female) Starbuck defaced it right before it even got under way (no pun intended). Dirk Benedict was more plausible than the melancholy heroic Kattee Saack, whose high-pressured performance is unlikely to be lauded by today's editors as ""compelling, exciting, particularly worth watching, ground breaking."" But finally it's a tired old image of a woman with a chip on her shoulder, as big as a terraced house: currently the biggest cliché on the film screen. I can probably give this series another shot, but human cartoons alone will not keep me on my toes. James Hilton once complained: ""Please tell me a story, just give me a story."""	1
"I will not forget this film or the events that led up to Jonestown in Guyana. This may seem tragic, but it must be told. Powers Boothe gives a commanding performance. Jim Jones from obscurity to total madness. It would easily have won him an Oscar if it had arrived in cinemas. It is a sort of miniseries that you'll never forget. One does not forget images of the brutality, control and obsession of its leader. His rise and fall and the threat from the outer world to destroy what he saw as this paradise. Mass suicide is horrific, almost unreal to the idea why so many people (over 900) were willing or able to resist Jones ""orders. They don't make miniseries like this any more, in which you're just waiting, mouth open and hungry, to know what's happening to the rest of them."	0
This comedy is really not funny. It's a romance so defined by stereotypes, it doesn't have any impact. It's such a derivative caper film - I mean, it didn't have a hook at that time. The cast is adequate. More is hard to say. But it's nice that the players are unused to it. The movie would have starred Robert Montgomery at MGM. The wife of a businessman with no time for anything but work could have been any number of actresses. We can be grateful that this little-known film is staffed with actors who are largely unknown today. And the production values aren't dreadful. Yet it doesn't make a real impression. It's a knockout blow. And who wants that?	1
"This may be unbelievable, but this film recorded 878,138 dollars in Russia! It is opening at almost all cinemas and is still running! Well, I don't have a clue why distributors are taking this particular ""film,"" which was barely shown worldwide. It is a sort of conundrum! Haha! Perhaps it was because another film, ""Pledge This,"" starring Paris Hilton, which has been mostly released only on DVD, was screened in Russian big-screen theaters and grossed more than $1 million. Both movies have also had a lot of promotion, for example, banners all over town, TV adverts and so on. When I say film, I mean it's boring and absolutely boring. It could actually be better. Even if it's Jessica Simpson."	1
Somewhere I read that this film is supposed to be a comedy. after seeing it, I would call it anything but. The point of this film eludes me. These dialogues are all extremely superficial and absurd, some scenes seemed like thoughtful reflections and, despite the nudity and indirect sexual content, there is nothing erotical about this movie... offen, makes me wonder what the hell that thing is! The title premise could have been a comical (if politically incorrect) comedy. Instead, however, we are subjected to cheap, amateurish, unfinished sketches and depravity and altruism for their own sake. If that's what I want then I'll buy a new one.	1
In 1933, Bali officials were ordered to remove them from the film because of its content, and the fact that Lily Powers, (Barbara Stanwyck), would do anything to claim huge wealth and power. s father had forced his daughter into prostitution at the age of 14, and she grew up in an ironworks in a city with very poor people. Her father also held an English course, which brought all kinds of male characters to his house to see Lily. As the plot progresses, Lily meets one by one, and at some point finds a man who has it all and acts as a bank president at Playboy. ), who was only twenty-five at the time of the picture-making, and Jimmy hadn't even reached Lily, even for lunch. A very young George Brent (Coutland Trenholm) plays Barbara Stanwyck, and both have given outstanding performances. This is a great movie from 1933, produced by Darryl F. Zanuck, was caught up in a mistake for many years and has just been shown on the screen. This movie is quite mild in comparison to what we're seeing on the screens in Hollywood today, but it was very cheeky to see it. Enjoy	0
